,Spain 10Y,KOSPI,SPY,crudeOilFutures,naturalGasFutures,goldFutures,copperFutures
2000-01-03,-0.0334100404000055,0.0,-0.0097870910862085,0.0,0.0,0.0034782608695651,0.0
2000-01-04,-0.0298959228717463,0.0301244078710594,-0.0391059177388485,-0.001953125,-0.0539130434782607,-0.0218370883882149,-0.017008797653959
2000-01-05,0.0029695625351582,-0.0686754041395981,0.0017886574084511,-0.0250489236790606,-0.0036764705882352,-0.0051381998582564,0.0113365155131266
2000-01-06,0.0059523853460921,-0.0258742180450365,-0.0160717930102517,-0.0052187876354876,0.0129151291512914,0.0003561887800536,-0.0029498525073746
2000-01-07,-0.0029784071029355,-0.0126354354229332,0.0580763344760804,-0.0225988700564973,-0.0104735883424408,0.0023144027060708,0.0005917159763313
2000-01-10,0.0209425997345906,0.0406788594318241,0.003430758910879,0.018579686209744,0.019788311090658,-0.0014209591474244,-0.0070963926670609
2000-01-11,-0.0209425997345906,-0.0059863862890482,-0.0119653091574786,0.044588569112282,0.0198555956678698,0.0067591604411241,-0.0017867778439547
2000-01-12,-0.0207255740710929,-0.0268207432769812,-0.0099484213191035,0.019790454016298,-0.0070796460176989,-0.0031802120141342,0.0250596658711217
2000-01-13,0.0058997092928421,-0.004146553439231,0.0135430323464509,0.015601217656012,0.0035650623885916,0.0067352002835872,-0.0116414435389988
2000-01-14,0.0118518865350942,-0.0031754376741496,0.013577131718238,0.0498313975271635,0.0310834813499112,-0.0007042253521126,0.0064782096584217
2000-01-17,-0.0177515958279363,0.0371718194571901,0.0,0.0,-0.0180878552971577,0.0051092318534178,0.0
2000-01-18,-0.0146735801277086,-0.0017696055000152,-0.0078677864528118,0.0296216987865811,0.0451754385964913,0.0108676599474146,0.0064365125804564
2000-01-19,-0.0087527491995977,-0.0435544507045123,0.0081449863671436,0.0239168110918543,0.0142677297524127,0.0027744061036931,0.0174418604651163
2000-01-20,0.0029133289929279,0.0075843115532925,-0.0153064667899166,0.0040622884224781,0.0587505171700457,-0.0031125713297596,-0.0102857142857143
